product_name,product_price,product_capacity,product_image,product_link,category
Terrazas Reserva Malbec ,"₦9,600.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/bottle%20(1)-450x450.png,https://www.cellarcentral.ng/wines?product_id=414,wine
Terrazas Reserva Torrontes ,"₦8,500.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/bottle%20(2)-450x450.png,https://www.cellarcentral.ng/wines?product_id=415,wine
The Chocolate Block ,"₦14,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/the_chocolate_block-450x450.jpg,https://www.cellarcentral.ng/wines/the-chocolate-block-75cl,wine
Thomas Barton Reserve Graves Blanc ,"₦4,600.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/Thomas%20Barton%20Reserve%20Grave%20Blanc-450x450.jpg,https://www.cellarcentral.ng/wines/thomas-barton-reserve-grave-blanc,wine
Tignanello Toscana ,"₦90,200.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/ANTINORI/Tignanello_Ver2-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=800,wine
Whispering Angel Rose Wine ,"₦12,700.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/whispering-450x450.jpeg,https://www.cellarcentral.ng/wines?product_id=546,wine
Absolut Vanilia ,"₦6,000.00",1L,https://www.cellarcentral.ng/image/cache/catalog/Vodka/absolut%20vanilla%20bottle-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=706,spirit
Amaro Di Angostura ,"₦7,700.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/amaro-450x450.png,https://www.cellarcentral.ng/spirits?product_id=630,spirit
American Honey ,"₦9,600.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/Wild-Turkey-American-Honey-280042-L_large-450x450.png,https://www.cellarcentral.ng/spirits/american-honey-75cl,spirit
Angostura 1787 ,"₦33,600.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Angostura/Angostura%201787-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=624,spirit
Angostura 1824 12yrs Old ,"₦29,600.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/rum_ang2-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=625,spirit
Angostura 1919 ,"₦19,200.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Angostura/Angostura%202015%20Premium%201919%20Bottle%20Render-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=626,spirit
Angostura Aromatic Bitters ,"₦7,000.00",20cl,https://www.cellarcentral.ng/image/cache/catalog/Angostura/Angostura-Aromatic-Bitters-450x450.png,https://www.cellarcentral.ng/spirits?product_id=570,spirit
Angostura No.1 ,"₦63,000.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/Angostura%20No%201-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=697,spirit
Angostura Orange Bitters ,"₦5,000.00",10CL,https://www.cellarcentral.ng/image/cache/catalog/Angostura/Orange-Bitters-Bottle-450x450.png,https://www.cellarcentral.ng/spirits?product_id=623,spirit
Angostura Reserva 3yrs White Rum ,"₦4,800.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/angostura-reserva-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=629,spirit
Aperol ,"₦6,600.00",1L,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/1026125x-450x450.jpg,https://www.cellarcentral.ng/spirits/aperol-1l,spirit
Bacardi 10 Year Old Rum ,"₦17,800.00",70Cl,https://www.cellarcentral.ng/image/cache/catalog/RUMS/bacardi%20gran%20reserva%20diez%2010%20year%20rum%2070cl-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=895,spirit
Bacardi 4 Year Old Rum ,"₦8,200.00",70Cl,https://www.cellarcentral.ng/image/cache/catalog/RUMS/Bacardi%204%20years-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=896,spirit
Bacardi 8 Years ,"₦10,400.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/BACARDI/8%20YEARS/martini-fiero-450x450.png,https://www.cellarcentral.ng/spirits?product_id=790,spirit
BACARDI Carta Blanca White Rum ,"₦5,300.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/BACARDI/CARTA%20BLANCA%20WHITE%20RUM/Large_3000_PNG-FY21_BACARDI_Carta_Blanca_IPX_750ml_40--450x450.png,https://www.cellarcentral.ng/spirits/bacardi-carta-blanca-75cl,spirit
BACARDÍ® Carta Oro Golden Rum ,"₦5,100.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/BACARDI/CARTA%20ORO%20GOLDEN%20RUM/bacardi-oro-gold-450x450.png,https://www.cellarcentral.ng/spirits/bacardi-gold-75cl,spirit
BACARDÍ® Spiced ,"₦4,600.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/BACARDI/SPICED/BACARDI-RUM-SPICED-450x450.png,https://www.cellarcentral.ng/spirits?product_id=758,spirit
Bailey's Irish Cream ,"₦7,500.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/BAILEYS/baileys%20irish-450x450.jpg,https://www.cellarcentral.ng/spirits/baileys-irish-cream-product,spirit
BARON OTARD® VSOP Cognac ,"₦30,700.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Cognac/Baron%20Otard/BARON-OTARD-VSOP-70CL-3_2048x2048-450x450.png,https://www.cellarcentral.ng/spirits/baron-otard*70cl,spirit
Belvedere Citrus ,"₦25,000.00",1L,https://www.cellarcentral.ng/image/cache/catalog/Vodka/BELVEDERE-CITRUs-450x450.png,https://www.cellarcentral.ng/spirits/belvedere-citrus-1l,spirit
BOMBAY SAPPHIRE® Gin,"₦8,520.00",,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/BOMBAY%20SAPPHIRE/Large_3000_PNG-FY21_BOMBAY_Sapphire_IPX_75cl-450x450.png,https://www.cellarcentral.ng/spirits/bombay-sapphire-gin-product,spirit
Camino Blanco Tequila ,"₦6,400.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Tequila/camino-silver-450x450.jpg,https://www.cellarcentral.ng/spirits/camino-blanco-tequila-75cl,spirit
Camino Gold Tequila ,"₦6,300.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Tequila/15-thickbox_default-450x450.jpg,https://www.cellarcentral.ng/spirits/camino-gold-tequila-75cl,spirit
Campari ,"₦8,500.00",1L,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/campari_1-450x450.png,https://www.cellarcentral.ng/spirits/campari-1ltr,spirit
Campari ,"₦2,800.00",20cl,https://www.cellarcentral.ng/image/cache/catalog/Aperitif/campari-20cl-450x450.png,https://www.cellarcentral.ng/spirits?product_id=791,spirit
Captain Morgan Gold ,"₦6,000.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/RUMS/Captain-Morgan-75cl-450x450.gif,https://www.cellarcentral.ng/spirits/captain-morgan-gold-70cl,spirit
Claymore Blended Scotch Whisky ,"₦5,400.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/American%20Whiskey/claymore-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=500,spirit
Dalmore 15 Years.,"₦62,600.00",,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/DALMORE/DALMORE-15-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=487,spirit
Dalmore 18 Years,"₦120,000.00",,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/DALMORE/Dalmore_D18_2022_GM_700_Bottle-and-Angled-Box_No-Shadow-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=488,spirit
Dalmore 20 Years,"₦400,500.00",,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/DALMORE/dalmore-20-years-old-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=897,spirit
Dalmore Cigar Malt Scotch Whisky,"₦75,400.00",,https://www.cellarcentral.ng/image/cache/catalog/American%20Whiskey/Cigar-malt-reserve-450x450.png,https://www.cellarcentral.ng/spirits?product_id=490,spirit
Delamain Pale & Dry X.O ,"₦49,100.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/DELAMAINE/delamain-xo-pale-and-dry-70cl-450x450.jpg,https://www.cellarcentral.ng/spirits/delamain-pale-and-dry-xo,spirit
Delamain TRIO Cognac Giftbox (3 x 200ml),"₦45,500.00",,https://www.cellarcentral.ng/image/cache/catalog/Cognac/DELAMAINE/delamain-trio-tasting-gift-set-cognac-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=796,spirit
DEWAR'S 12 Year Old Blended Scotch Whisky ,"₦14,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/DEWARS/12%20YEAR%20OLD/Large_3000_PNG-FY21_Dewars_12years_BIP_75cl-450x450.png,https://www.cellarcentral.ng/spirits?product_id=757,spirit
Dewar's 15 Year Old Blended Whisky ,"₦23,100.00",75Cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/Dewar's/Dewars%2015%20yo-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=893,spirit
Dewar's 18 Year Old Blended Whisky ,"₦32,700.00",75Cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/Dewar's/Dewars%2018%20year%20old-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=894,spirit
DUSSE XO Cognac ,"₦100,800.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/DUSSE/Large_3000_PNG-F18_DUSSE_XO_IPX_750ML-450x450.png,https://www.cellarcentral.ng/spirits?product_id=764,spirit
Eminente Reserva 7 Year Old Rum ,"₦35,700.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/Eminent-Rum-70cl-450x450.png,https://www.cellarcentral.ng/spirits?product_id=927,spirit
ERISTOFF Premium Vodka ,"₦3,500.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/ERISTOFF%20/eristoff-vodka-450x450.png,https://www.cellarcentral.ng/spirits?product_id=769,spirit
Espolon Tequila Reposado ,"₦14,100.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Tequila/espolon%20tequila%20reposado%20gold-450x450.png,https://www.cellarcentral.ng/spirits?product_id=714,spirit
Gin Etsu Japanese Gin 70,"₦15,400.00",cl,https://www.cellarcentral.ng/image/cache/catalog/Gin/GIN%20ETSU/GIN-ETSU-ET-BOUTEILLE-PF-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=909,spirit
Gin Mare ,"₦18,000.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Gin/gin-mare-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=595,spirit
Glenfiddich 12 Year Old ,"₦23,400.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/GLENFIDDICH/glenfiddich-12-years-450x450.jpg,https://www.cellarcentral.ng/spirits/glenfiddich-12year-old,spirit
