spirit_name,spirit_price,spirit_vol,spirit_image,spirit_product_link
Jura 21 Year Old ,"₦126,900.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/American%20Whiskey/isle-of-jura-21yo-single-malt-whisky-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=551
Label 5 Scotch Whisky 18 years,"₦26,600.00",,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/LABEL%205/label-5%2018years-450x450.png,https://www.cellarcentral.ng/spirits/label-5-18-years
Label 5 Scotch Whisky with Pack ,"₦4,300.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/LABEL%205/Label%205%20pack-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=806
Martell Blue Swift ,"₦47,650.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/American%20Whiskey/Mar%20blue-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=517
Martini Fiero ,"₦4,100.00",1L,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/MARTINI/bacardi-reserva-8-years-450x450.png,https://www.cellarcentral.ng/spirits?product_id=789
MARTINI® Bitter Vermouth ,"₦4,800.00",1L,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/MARTINI/MARTINI%20BITTER/Large_3000_PNG-FY21_MARTINI_Bitter_IPX_750ml-450x450.png,https://www.cellarcentral.ng/spirits?product_id=753
MARTINI® Extra Dry Vermouth ,"₦4,600.00",1L,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/MARTINI/EXTRA%20DRY/Large_3000_PNG-FY21_MARTINI_Dry_IPX_1L_18--450x450.png,https://www.cellarcentral.ng/spirits?product_id=755
Monkey Shoulder ,"₦16,100.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/American%20Whiskey/monkey%20shoulder-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=593
Patron Silver ,"₦17,800.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Tequila/bottle%20(1)-450x450.png,https://www.cellarcentral.ng/spirits/patron-silver
Poliakov Original Premium Vodka ,"₦2,600.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Vodka/POLIAKOV/poliakov-vodka-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=832
Portobello Road Gin,"₦19,200.00",,https://www.cellarcentral.ng/image/cache/catalog/Gin/Porto%20Bello/portobello-road-savoury-gin-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=878
Remy Martin 1738,"₦47,600.00", 75CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/Remy_Martin_1738_Cognac-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=459
Remy Martin VSOP ,"₦38,100.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/remy_martin_vsop_70cl-450x450.png,https://www.cellarcentral.ng/spirits/remy-martin-vsop-product
Remy Martin X. O ,"₦144,200.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/REMY%20MARTIN/remy%20martin%20xo-450x450.jpg,https://www.cellarcentral.ng/spirits/remy-martin-xo-product
Sainte Croix VS ,"₦18,400.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Cognac/Sainte-Croix-Cognac-VS-450x450.png,https://www.cellarcentral.ng/spirits?product_id=745
Sainte Croix VSOP ,"₦20,200.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Cognac/Sainte-Croix-Cognac-VSOP-450x450.png,https://www.cellarcentral.ng/spirits?product_id=746
Sainte Croix XO ,"₦76,000.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Cognac/SANTE%20CROIX/Sainte-Croix-XO-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=844
Smirnoff Apple ,"₦6,800.00",1L,https://www.cellarcentral.ng/image/cache/catalog/Vodka/t02817867a_1-450x450.jpg,https://www.cellarcentral.ng/spirits/smirnoff-apple-1l
Smirnoff Orange ,"₦6,500.00",1L,https://www.cellarcentral.ng/image/cache/catalog/Vodka/image_4726106_full-450x450.jpeg,https://www.cellarcentral.ng/spirits/smirnoff-orange-1l
Smirnoff Raspberry ,"₦6,500.00",1L,https://www.cellarcentral.ng/image/cache/catalog/Vodka/smirnoff-raspberry-vodka-bottle-500x500-450x450.jpg,https://www.cellarcentral.ng/spirits/smirnoff-raspberry-1l
